university	career	inscription_date	last_name	gender	age	postal_code	location	email
universidad de flores	licenciatura en kinesiología y fisiatría	2020-11-01	chelsea taylor	female	21	6200	realico	michael67@gmail.com
universidad de flores	ingeniería en informática	2020-12-09	daniel brown	male	21	1633	empalme	khodges@gmail.com
universidad de flores	licenciatura en ciencias antropológicas	2020-09-11	 amy scott	female	31	5777	adolfo rodriguez saa	dmadden@hotmail.com
universidad de flores	licenciatura en ciencias ambientales	2020-09-18	david huber	male	70	4605	alisos  de abajo	wwebb@hotmail.com
universidad de flores	diseño de imagen y sonido	2020-09-06	steven munoz	male	67	5381	bella vista	christopher00@yahoo.com
universidad de flores	licenciatura en planificación y diseño del paisaje	2020-12-22	tim cox	male	21	5622	colonia jauregui	aliciapearson@hotmail.com
universidad de flores	diseño industrial	2020-12-22	joann dominguez	female	21	3308	candelaria	elizabeth50@hotmail.com
universidad de flores	licenciatura en planificación y diseño del paisaje	2020-10-19	s breanna anderson md	female	67	5622	colonia jauregui	rreilly@hotmail.com
universidad de flores	bioquímica	2020-11-20	ian lewis	male	21	2508	armstrong	kimann@hotmail.com
universidad de flores	licenciatura en ciencias ambientales	2020-09-08	alexander willia	male	21	4163	huasa pampa norte	leslie97@gmail.com
universidad de flores	licenciatura en planificación y diseño del paisaje	2020-11-11	emily wilson	female	21	3328	colonia japonesa	mark19@hotmail.com
universidad de flores	licenciatura en ciencias biológicas	2020-12-04	laura clay	female	19	1659	campo de mayo	kellyjordan@yahoo.com
universidad de flores	licenciatura en sociología	2021-01-16	brian alexander	male	21	3706	avia terai	mpowell@gmail.com
universidad de flores	agronomía	2021-01-18	erik ada	male	21	6077	encina	victor43@yahoo.com
universidad de flores	farmacia	2020-12-27	sara hansen	female	64	5572	alto grande	mdavis@yahoo.com
universidad de flores	licenciatura en kinesiología y fisiatría	2021-01-29	frank fields	male	21	3531	colonia aborigen	kathy78@gmail.com
universidad de flores	licenciatura en gestión de agroalimentos	2020-10-27	sandra white	female	21	6476	chiclana	tara67@hotmail.com
universidad de flores	licenciatura en ciencias de la computación	2020-12-09	logan melton	male	21	6405	30 de agosto	kayla62@gmail.com
universidad de flores	ingeniería mecánica	2020-09-11	michael downs	male	21	3109	colonia centenario	ynelson@gmail.com
universidad de flores	agronomía	2020-11-07	sarah hodge	female	21	2615	la gama	ewillis@hotmail.com
universidad de flores	bioquímica	2020-12-26	heather lopez	female	33	3522	el retiro	davilalori@gmail.com
universidad de flores	diseño de imagen y sonido	2020-09-29	kimberly daniels	female	28	1665	jose clemente paz	fosterjoshua@yahoo.com
universidad de flores	ciencias veterinarias	2020-12-26	tyler davis	male	60	1754	san justo	thompsonrandy@yahoo.com
universidad de flores	licenciatura en ciencia y tecnología de alimentos	2020-10-03	anna scott	female	21	5411	la legua	boydbrenda@yahoo.com
universidad de flores	ciencias veterinarias	2020-11-27	jessica lee	female	21	8175	goyena	rhampton@gmail.com
universidad de flores	licenciatura en artes	2020-12-10	gregory powers	male	21	3105	diamante	joshua53@gmail.com
universidad de flores	licenciatura en terapia ocupacional	2020-10-01	amber fields	female	32	4616	barcena	cynthiabryant@yahoo.com
universidad de flores	licenciatura en administración	2020-09-14	bruce johnson	male	21	8311	villa el chocon	aaronconner@gmail.com
universidad de flores	medicina	2020-11-23	lee johnston	male	63	7220	funke	heather55@hotmail.com
universidad de flores	contador público	2020-10-09	blake thomas	male	58	6457	ingeniero beaugey	zwhite@hotmail.com
universidad de flores	bioquímica	2021-01-05	justin wolfe	male	45	3543	colonia lote 12	lorimiller@yahoo.com
