university	career	inscription_date	last_name	gender	age	postal_code	location	email
universidad nacional de villa maría	licenciatura en ciencia política	2020-09-15	jonathan harris md	male	35	1768	ciudad madero	richard21@hotmail.com
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	2020-09-20	jamie harrell	female	35	1607	villa adelina	jdalton@hotmail.com
universidad nacional de villa maría	licenciatura en sociología	2020-12-26	roger gregory	male	35	3308	candelaria	juanmay@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias de la computación	2020-10-29	brittany landry	female	35	5721	agua seballe	itorres@yahoo.com
universidad nacional de villa maría	bioquímica	2020-10-26	danielle wheeler	female	35	6071	bermudez	tiffanywashington@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias geológicas	2020-10-06	rebecca benson	female	35	6301	ataliva roca	jmonroe@hotmail.com
universidad nacional de villa maría	actuario	2021-01-20	kelsey ward	female	22	2132	aero club rosario	veronicalewis@gmail.com
universidad nacional de villa maría	diseño de imagen y sonido	2020-11-24	christine mitchell	female	35	2900	san nicolas de los arroyos	malonejoseph@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias ambientales	2020-09-16	michael nielsen	male	35	4501	abra del trigo	fflores@gmail.com
universidad nacional de villa maría	licenciatura en ciencia política	2021-01-17	jessica li	female	35	2944	rio tala	xgolden@hotmail.com
universidad nacional de villa maría	arquitectura	2020-10-22	todd mendoza	male	35	3172	kilometro 208	jbaker@hotmail.com
universidad nacional de villa maría	diseño de imagen y sonido	2020-12-30	peggy meyer	female	35	8336	gobernador duval	sabrina38@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias biológicas	2020-11-26	ryan brown	male	24	8422	aguada de piedra	caleb20@yahoo.com
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	2020-09-12	joann bennett	female	35	6387	caleufu	cnicholson@hotmail.com
universidad nacional de villa maría	ciencias veterinarias	2021-01-07	william conley	male	38	4501	abra del trigo	chubbard@hotmail.com
universidad nacional de villa maría	arquitectura	2020-11-09	joseph rosales	male	35	8160	fortin chaco	bpearson@hotmail.com
universidad nacional de villa maría	licenciatura en sociología	2020-11-05	john munoz	male	35	8318	challaco	martinezalicia@yahoo.com
universidad nacional de villa maría	licenciatura en ciencias de la computación	2020-09-09	andrea walker	female	35	8154	calvo	cookmargaret@hotmail.com
universidad nacional de villa maría	ingeniería en informática	2020-09-04	patrick conner	male	35	5527	colonia santa teresa	michael16@yahoo.com
universidad nacional de villa maría	licenciatura en ciencias antropológicas	2020-11-18	larry obrien	male	24	4618	abra de pives	kathleenherrera@gmail.com
universidad nacional de villa maría	licenciatura en ciencias biológicas	2020-10-28	debra howard	female	35	8361	isla grande	smithchristine@hotmail.com
universidad nacional de villa maría	licenciatura en sociología	2020-10-28	michael reyes	male	35	3421	bajo guazu	khill@hotmail.com
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	2020-11-12	david howard	male	35	7263	el chumbeau	wendysimpson@yahoo.com
universidad nacional de villa maría	ingeniería electrónica	2020-11-22	timothy jones	male	35	8415	arroyo las minas	shawn63@yahoo.com
universidad nacional de villa maría	licenciatura en sociología	2020-09-16	gary richards	male	35	5553	empalme frontera	gilbertandrew@gmail.com
universidad nacional de villa maría	licenciatura en sociología	2020-10-18	gregory daniel	male	35	7305	antonio de los heros	csimpson@yahoo.com
universidad nacional de villa maría	licenciatura en administración	2020-11-26	vanessa mack	female	35	2322	cabaña el cisne	cwilcox@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias de la educación	2020-09-13	carol johnson	female	42	7108	costa del este	bbrown@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias antropológicas	2021-01-08	christopher willia	male	35	3074	colonia el simbol	denisepowell@gmail.com
universidad nacional de villa maría	bioquímica	2020-11-06	rachel holland	female	35	2843	general galarza	rmartinez@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias ambientales	2021-01-09	tracy rogers	female	35	5439	belgrano	eknight@yahoo.com
universidad nacional de villa maría	licenciatura en relaciones del trabajo	2020-12-05	ariel richardson	female	43	7228	abbott	william49@gmail.com
universidad nacional de villa maría	ciencias veterinarias	2020-12-30	brenda wade	female	35	6313	bajo de las palomas	jenniferlivingston@hotmail.com
universidad nacional de villa maría	diseño de imagen y sonido	2021-01-07	brandon davis	male	32	4516	caimancito	robinsonaaron@yahoo.com
universidad nacional de villa maría	licenciatura en ciencias de la computación	2021-02-01	brett sandoval	male	35	4503	arrayanal	frichardson@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias de la computación	2020-09-23	noah bryant	male	49	7165	faro querandi	wilsonemily@gmail.com
universidad nacional de villa maría	diseño de imagen y sonido	2021-01-19	barbara reed	female	35	9111	bahia bustamante	bhill@gmail.com
universidad nacional de villa maría	licenciatura en ciencias geológicas	2020-12-29	damon rodriguez	male	35	2123	campo calvo	brian37@gmail.com
universidad nacional de villa maría	licenciatura en kinesiología y fisiatría	2020-09-03	steven fischer	male	35	6064	eduardo costa	john98@gmail.com
universidad nacional de villa maría	licenciatura en ciencias ambientales	2020-10-08	emily smith	female	25	1757	gregorio de laferrere	david42@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias de la educación	2020-10-23	sheila andrews	female	35	4231	albigasta	randerson@gmail.com
universidad nacional de villa maría	licenciatura en musicoterapia	2020-10-26	 michael johnson	male	35	5603	cañada seca	gonzalesmolly@gmail.com
universidad nacional de villa maría	licenciatura en ciencias antropológicas	2020-10-20	meghan day	female	35	2440	barrio belgrano ortiz	edwardspatricia@hotmail.com
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	2020-10-19	jennifer smith	female	35	3357	barra bonita	ymoore@hotmail.com
universidad nacional de villa maría	ingeniería en informática	2020-10-18	sabrina chambers	female	22	2128	arroyo seco	esanchez@hotmail.com
universidad nacional de villa maría	licenciatura en ciencia y tecnología de alimentos	2021-01-10	anthony gibson	male	35	8326	cervantes	robinsonjennifer@yahoo.com
universidad nacional de villa maría	diseño industrial	2020-10-26	mary olsen	female	35	2255	campo rodriguez	taylor55@hotmail.com
universidad nacional de villa maría	arquitectura	2021-01-23	eric hall	male	35	8138	anzoategui	shelby66@yahoo.com
universidad nacional de villa maría	licenciatura en psicología	2020-12-24	william travis	male	35	2622	maggiolo	dianecarrillo@yahoo.com
universidad nacional de villa maría	ingeniería electrónica	2020-11-11	taylor payne	female	35	4144	amberes	andersenderek@yahoo.com
