university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
univ.  nacional  del  comahue	licenciatura  en  psicología	2020-09-01	gregory	howell	male	29	5315	calera  la  norma	frankalexandra@yahoo.com
univ.  nacional  del  comahue	farmacia	2020-09-01	tasha	brown	female	37	8305	aguada  san  roque	tedwards@gmail.com
univ.  nacional  del  comahue	medicina	2020-09-01	ian	taylor	male	35	3428	estacion  saladas	richard76@gmail.com
univ.  nacional  del  comahue	medicina	2020-09-01	mark	sanchez	male	20	5873	isla	oduffy@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  ciencia  política	2020-09-01	sherri	carter	female	39	1765	isidro  casanova	fosterchase@gmail.com
univ.  nacional  del  comahue	técnico  para  bioterios	2020-09-01	patricia	gardner	female	25	3197	abra  guazu	hughesnina@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  sociología	2020-09-01	marissa	johns	female	34	6034	colonia  alberdi	john91@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  ciencia  y  tecnología  de  alimentos	2020-09-01	crystal	williams	female	23	6017	chancay	leebrad@yahoo.com
univ.  nacional  del  comahue	diseño  industrial	2020-09-01	nicole	smith	female	21	1925	destileria  fiscal	jshields@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  artes	2020-09-01	timothy	dyer	male	21	5429	el  abanico	mariajackson@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  administración	2020-09-02	christina	long	female	21	4750	agua  colorada	williammcpherson@yahoo.com
univ.  nacional  del  comahue	contador  público	2020-09-02	michele	rivera	female	19	2721	el  arbolito	ewingdiana@gmail.com
univ.  nacional  del  comahue	ciencias  veterinarias	2020-09-02	steven	may	male	23	6437	alamos	perezchristopher@yahoo.com
univ.  nacional  del  comahue	ingeniería  mecánica	2020-09-02	mary	larson	female	33	7519	san  mayol	michaelwhite@yahoo.com
univ.  nacional  del  comahue	ingeniería  en  informática	2020-09-02	kenneth	henry	male	31	8170	abra  de  hinojo	qyoung@hotmail.com
univ.  nacional  del  comahue	arquitectura	2020-09-02	carmen	clark	female	37	5741	13  de  enero	richardjohnson@gmail.com
univ.  nacional  del  comahue	licenciatura  en  producción  de  bioimagenes	2020-09-02	haley	carpenter	female	33	3585	el  sombrerito	yshepherd@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  musicoterapia	2020-09-02	angela	simmons	female	25	3158	20  de  septiembre	stonekimberly@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  kinesiología  y  fisiatría	2020-09-02	matthew	wilson	male	23	5835	bella  vista	campbelldavid@gmail.com
univ.  nacional  del  comahue	ingeniería  mecánica	2020-09-02	john	hernandez	male	17	3172	kilometro  208	lisa58@gmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  geológicas	2020-09-02	joseph	mccarthy	male	36	2931	isla  los  laureles	laurenchurch@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  biológicas	2020-09-02	michael	diaz	male	25	5557	caracoles	woodsydney@hotmail.com
univ.  nacional  del  comahue	farmacia	2020-09-02	shawn	thomas	male	34	5317	apoyaco	william73@hotmail.com
univ.  nacional  del  comahue	ingeniería  electrónica	2020-09-02	julie	guerrero	female	35	3109	colonia  centenario	warnershirley@gmail.com
univ.  nacional  del  comahue	licenciatura  en  gestión  de  agroalimentos	2020-09-02	melissa	newton	female	24	2527	colonia  san  francisco	nelsonmegan@yahoo.com
univ.  nacional  del  comahue	diseño  de  imagen  y  sonido	2020-09-03	allen	skinner	male	36	6651	ingeniero  de  madrid	marksmith@gmail.com
univ.  nacional  del  comahue	medicina	2020-09-03	erin	jennings	female	34	6307	colonia  la  oracion	martinezstephanie@gmail.com
univ.  nacional  del  comahue	ingeniería  mecánica	2020-09-03	stacey	kidd	female	23	2715	el  socorro	zsexton@hotmail.com
univ.  nacional  del  comahue	ingeniería  en  informática	2020-09-03	warren	torres	male	29	3111	almacen  cristian  schubert	bishopkevin@hotmail.com
univ.  nacional  del  comahue	actuario	2020-09-03	natalie	gilbert	female	21	3134	antonio  tomas  sud	cowanjennifer@gmail.com
univ.  nacional  del  comahue	licenciatura  en  producción  de  bioimagenes	2020-09-03	margaret	jimenez	female	23	3192	colonia  bertozzi	jenniferthompson@yahoo.com
univ.  nacional  del  comahue	ingeniería  en  informática	2020-09-03	kristopher	wright	male	18	1842	el  jaguel	elliottashley@gmail.com
univ.  nacional  del  comahue	diseño  de  imagen  y  sonido	2020-09-03	todd	warren	male	33	2142	campo  medina	debra01@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  de  la  educación	2020-09-03	ian	freeman	male	17	2630	firmat	joshuamorgan@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  de  la  computación	2020-09-04	alexis	ford	female	31	7400	barrio  la  luisa	westtamara@gmail.com
univ.  nacional  del  comahue	licenciatura  en  planificación  y  diseño  del  paisaje	2020-09-04	dawn	roberts	female	19	6321	caichue	manningbarbara@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  ambientales	2020-09-04	jason	montes	male	23	3194	paso  telegrafo	wbryant@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  geológicas	2020-09-04	jesse	frazier	male	19	6233	condarco	matthew83@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  terapia  ocupacional	2020-09-04	anthony	jackson	male	23	8534	aguada  cecilio	williamstracy@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  psicología	2020-09-04	sherri	hester	female	23	8347	arroyo  cahunco	donaldreilly@gmail.com
univ.  nacional  del  comahue	licenciatura  en  sociología	2020-09-04	anita	martinez	female	21	1890	juan  maria  gutierrez	okelley@gmail.com
univ.  nacional  del  comahue	arquitectura	2020-09-04	andre	gutierrez	male	21	5600	agua  de  la  mula	jasonjones@hotmail.com
univ.  nacional  del  comahue	diseño  industrial	2020-09-04	catherine	may	female	38	1664	trujui	anthonyjohnson@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  psicología	2020-09-04	jeffrey	obrien	male	25	3337	adolfo  j  pomar	transcott@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  ciencia  política	2020-09-04	amanda	hill	female	33	8105	aguara	gregorybaker@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  psicología	2020-09-04	tracey	anderson	female	24	1927	esc  nav  militar  rio  sant	srowe@gmail.com
univ.  nacional  del  comahue	licenciatura  en  producción  de  bioimagenes	2020-09-04	angela	gilmore	female	18	3536	bocas	johnsontara@hotmail.com
univ.  nacional  del  comahue	agronomía	2020-09-04	carla	barnes	female	31	5384	punta  de  los  llanos	hallian@gmail.com
univ.  nacional  del  comahue	ingeniería  mecánica	2020-09-05	matthew	frost	male	25	6042	dos  hermanos	hparker@hotmail.com
univ.  nacional  del  comahue	farmacia	2020-09-05	zachary	jackson	male	27	6455	carlos  tejedor	rodriguezscott@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  relaciones  del  trabajo	2020-09-05	amy	mendoza	female	21	2508	armstrong	chamberskevin@gmail.com
univ.  nacional  del  comahue	diseño  industrial	2020-09-05	zachary	obrien	male	19	3366	almirante  brown	ryanlee@hotmail.com
univ.  nacional  del  comahue	farmacia	2020-09-05	craig	richards	male	27	5439	belgrano	jennifer39@gmail.com
univ.  nacional  del  comahue	licenciatura  en  planificación  y  diseño  del  paisaje	2020-09-05	thomas	brown	male	29	1770	aldo  bonzi	lsanford@gmail.com
univ.  nacional  del  comahue	medicina	2020-09-05	leah	branch	female	19	4000	estacion  de  zootecnia  b	masonkevin@yahoo.com
univ.  nacional  del  comahue	ciencias  veterinarias	2020-09-05	ashley	scott	female	29	4516	caimancito	asimmons@yahoo.com
univ.  nacional  del  comahue	bioquímica	2020-09-05	frank	robinson	male	37	5596	12  de  octubre	pmanning@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  ciencia  y  tecnología  de  alimentos	2020-09-05	kelli	rivera	female	31	8363	colonia  josefa	oyoung@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  artes	2020-09-05	vicki	phillips	female	19	7011	aneque  grande	robertslisa@hotmail.com
univ.  nacional  del  comahue	diseño  de  imagen  y  sonido	2020-09-06	edward	taylor	male	25	9050	gobernador  moyano	whiteheadshane@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  producción  de  bioimagenes	2020-09-06	nicholas	johnson	male	27	3461	abo  nezu	ytorres@gmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  de  la  computación	2020-09-06	james	petty	male	19	5521	los  corredores	ethanjimenez@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  antropológicas	2020-09-06	jamie	smith	female	29	2216	campo  raffo	zachary24@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  ambientales	2020-09-06	andrew	myers	male	29	7533	quiñihual  estacion	breannaward@yahoo.com
univ.  nacional  del  comahue	ingeniería  en  informática	2020-09-06	julia	mills	female	34	6503	desvio  kilometro  234	kochrickey@hotmail.com
univ.  nacional  del  comahue	ingeniería  mecánica	2020-09-06	catherine	mann	female	37	4230	brea  chimpana	katelynwest@hotmail.com
univ.  nacional  del  comahue	ingeniería  en  informática	2020-09-06	valerie	hughes	female	23	7203	chapaleufu	smcdonald@gmail.com
univ.  nacional  del  comahue	ingeniería  en  informática	2020-09-07	richard	brown	male	21	1601	isla  martin  garcia	chelsey16@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencia  y  tecnología  de  alimentos	2020-09-07	catherine	bush	female	20	2309	colonia  reina  margarita	amandadoyle@gmail.com
univ.  nacional  del  comahue	licenciatura  en  gestión  de  agroalimentos	2020-09-07	nicholas	vasquez	male	33	2185	campo  crenna	nburgess@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  de  la  educación	2020-09-07	samantha	ferguson	female	19	2445	cristolia	alyssamoore@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  musicoterapia	2020-09-07	emily	page	female	37	2705	haras  san  jacinto	robert29@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  terapia  ocupacional	2020-09-07	amanda	diaz	female	28	3344	2  de  julio	jefferydennis@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  relaciones  del  trabajo	2020-09-07	christine	mayer	female	33	2156	arsenal  de  guerra  san  lorenzo	taylordana@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  psicología	2020-09-07	david	jones	male	29	1842	el  jaguel	hernandezmegan@gmail.com
univ.  nacional  del  comahue	licenciatura  en  kinesiología  y  fisiatría	2020-09-07	mark	bradley	male	39	2113	peyrano	twebb@gmail.com
univ.  nacional  del  comahue	agronomía	2020-09-07	john	bowen	male	35	2824	britos	rhart@gmail.com
univ.  nacional  del  comahue	actuario	2020-09-07	robert	moreno	male	29	3574	capilla  guadalupe  norte	nwatson@yahoo.com
univ.  nacional  del  comahue	agronomía	2020-09-07	andrea	alexander	female	31	1896	camino  centenario  km  11500	christina09@gmail.com
univ.  nacional  del  comahue	agronomía	2020-09-07	felicia	valdez	female	25	3620	kilometro  184	greenefrederick@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  biológicas	2020-09-07	michele	romero	female	25	1739	general  hornos	salinasjanice@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  biológicas	2020-09-07	michael	mosley	male	27	6500	9  de  julio	donnajones@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  geológicas	2020-09-07	charles	leach	male	33	5779	la  chilca	barbaraturner@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  de  la  computación	2020-09-08	michael	simpson	male	35	6652	olascoaga	davidgaines@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  planificación  y  diseño  del  paisaje	2020-09-08	amanda	jordan	female	33	3522	el  retiro	robert92@gmail.com
univ.  nacional  del  comahue	licenciatura  en  psicología	2020-09-08	jessica	ross	female	27	6003	ascencion	robert92@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  ambientales	2020-09-08	darlene	garner	female	37	3366	almirante  brown	jmadden@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  producción  de  bioimagenes	2020-09-08	patrick	garrett	male	39	4186	cañete	greenecharles@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  ambientales	2020-09-08	zoe	oconnell	female	37	5419	baños  de  la  laja	jill45@gmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  de  la  educación	2020-09-08	michelle	shelton	female	17	3427	abra	breweramber@gmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencia  política	2020-09-08	megan	mendoza	female	37	3416	arroyo  ceibal	michellelynch@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencia  y  tecnología  de  alimentos	2020-09-08	joseph	estrada	male	27	6643	araujo	oatkinson@gmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  de  la  educación	2020-09-09	jennifer	may	female	21	5474	barranquitas	aaron63@gmail.com
univ.  nacional  del  comahue	licenciatura  en  kinesiología  y  fisiatría	2020-09-09	jordan	gilmore	male	25	3472	caaguazu	wspencer@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  biológicas	2020-09-09	michael	thompson	male	30	2824	britos	kimberly13@gmail.com
univ.  nacional  del  comahue	licenciatura  en  sociología	2020-09-09	james	taylor	male	27	2500	cañada  de  gomez	sheenasilva@hotmail.com
univ.  nacional  del  comahue	arquitectura	2020-09-09	kim	burton	female	21	5438	alto  de  sierra	rogersdavid@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  planificación  y  diseño  del  paisaje	2020-09-09	tricia	evans	female	39	5589	chapanay	millergregory@hotmail.com
univ.  nacional  del  comahue	farmacia	2020-09-09	kirk	calderon	male	25	2609	colonia  morgan	cpalmer@hotmail.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  de  la  computación	2020-09-09	kimberly	calderon	female	25	3181	arroyo  moreira	ggraham@gmail.com
univ.  nacional  del  comahue	ciencias  veterinarias	2020-09-09	erin	reeves	female	31	2854	dos  hermanas	timothyvega@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  ciencias  de  la  computación	2020-09-09	rachel	newman	female	38	1678	caseros	oscarnielsen@yahoo.com
univ.  nacional  del  comahue	licenciatura  en  relaciones  del  trabajo	2020-09-09	rachel	lane	female	37	5423	capitan  lazo	sandersbrandy@gmail.com
