Id	university	career	inscription_date	first_name	last_name	gender	age	location	email	postal_code
0	universidad abierta interamericana	licenciatura en kinesiología y fisiatría	2021-01-08	randy	williams	male	75	juan maria gutierrez	joshua07@yahoo.com	1890
404	universidad abierta interamericana	licenciatura en producción de bioimagenes	2020-12-07	kelly	ellis	female	69	juan maria gutierrez	valerie71@hotmail.com	1890
1	universidad abierta interamericana	licenciatura en ciencias ambientales	2020-10-04	nichole	stanley	female	32	el rincon	dbutler@yahoo.com	8146
3	universidad abierta interamericana	licenciatura en ciencias antropológicas	2020-11-22	kevin	weaver	male	62	capitan lazo	millererika@hotmail.com	5423
368	universidad abierta interamericana	actuario	2020-09-27	diane	livingston	female	51	capitan lazo	qhamilton@hotmail.com	5423
4	universidad abierta interamericana	licenciatura en psicología	2021-01-30	david	oliver	male	79	llavallol	jorge05@yahoo.com	1836
5	universidad abierta interamericana	licenciatura en artes	2020-10-12	alyssa	callahan	female	39	albigasta	jodi34@yahoo.com	4235
1825	universidad abierta interamericana	medicina	2021-02-01	tammy	mcbride	female	46	albigasta	mpeterson@gmail.com	4235
6	universidad abierta interamericana	licenciatura en producción de bioimagenes	2020-11-13	tracy	pope	female	80	la viticola	jamesgentry@hotmail.com	8122
490	universidad abierta interamericana	licenciatura en artes	2020-12-28	lori	franklin	female	87	la viticola	kathrynschwartz@hotmail.com	8122
7	universidad abierta interamericana	bioquímica	2021-01-26	shawn	fleming	male	49	cantera aguirre	betty11@hotmail.com	7000
8	universidad abierta interamericana	licenciatura en ciencias antropológicas	2020-09-21	brenda	santana	female	32	25 de mayo	james37@hotmail.com	8201
87	universidad abierta interamericana	medicina	2021-01-24	krista	martinez	female	59	25 de mayo	jerrycarson@gmail.com	8201
764	universidad abierta interamericana	arquitectura	2020-09-08	monica	strickland	female	33	25 de mayo	martinjacob@hotmail.com	8201
9	universidad abierta interamericana	licenciatura en producción de bioimagenes	2021-01-21	tyrone	roberts	male	18	barra bonita	millerrandall@gmail.com	3357
453	universidad abierta interamericana	bioquímica	2020-11-19	kathleen	garcia	female	22	barra bonita	lozanoashley@gmail.com	3357
10	universidad abierta interamericana	farmacia	2020-12-20	brandon	carter	male	36	alcorta	reedaustin@yahoo.com	2117
11	universidad abierta interamericana	licenciatura en kinesiología y fisiatría	2020-11-13	henry	edwards	male	74	el sombrerito	garyball@gmail.com	3585
104	universidad abierta interamericana	licenciatura en kinesiología y fisiatría	2020-11-02	kelly	hogan	male	86	el sombrerito	donna19@hotmail.com	3585
1220	universidad abierta interamericana	contador público	2021-01-10	rachel	flores	female	61	el sombrerito	berryjonathan@hotmail.com	3585
1614	universidad abierta interamericana	licenciatura en administración	2020-10-11	david	park	male	38	el sombrerito	thomasmorris@gmail.com	3585
12	universidad abierta interamericana	diseño de imagen y sonido	2020-09-17	donna	sparks	female	45	alto del puesto	hrodriguez@yahoo.com	4176
257	universidad abierta interamericana	licenciatura en musicoterapia	2020-09-19	patrick	davidson	male	94	alto del puesto	jenniferrobinson@hotmail.com	4176
263	universidad abierta interamericana	licenciatura en producción de bioimagenes	2020-09-24	dawn	ramirez	female	57	alto del puesto	kjones@gmail.com	4176
429	universidad abierta interamericana	diseño industrial	2021-01-13	jennifer	douglas	female	46	alto del puesto	hfisher@hotmail.com	4176
543	universidad abierta interamericana	técnico para bioterios	2020-11-16	brian	sanchez	male	54	alto del puesto	williamschristine@gmail.com	4176
14	universidad abierta interamericana	licenciatura en gestión de agroalimentos	2021-01-04	robert	price	male	23	cramer	sheparddiane@hotmail.com	5733
358	universidad abierta interamericana	diseño industrial	2020-10-23	christopher	richmond	male	18	cramer	wareamanda@yahoo.com	5733
441	universidad abierta interamericana	licenciatura en ciencia y tecnología de alimentos	2020-12-11	denise	adams	female	63	cramer	andrewford@gmail.com	5733
15	universidad abierta interamericana	ingeniería mecánica	2020-12-14	johnny	williams	male	57	capitan castro	andreaboyd@yahoo.com	6461
1669	universidad abierta interamericana	actuario	2020-10-16	melanie	lynn	female	67	capitan castro	kenneth82@gmail.com	6461
