Id	university	career	inscription_date	first_name	last_name	gender	age	postal_code	email	location
0	universidad nacional de la pampa	licenciatura en musicoterapia	2021-01-22	brett	roberts	male	22	3232	deannalarson@hotmail.com	cabred
1304	universidad nacional de la pampa	diseño industrial	2020-09-11	christopher	jones	male	93	3232	vgarcia@yahoo.com	cabred
3	universidad nacional de la pampa	farmacia	2020-12-29	chad	richardson	male	45	3185	jacksonmichelle@hotmail.com	colonia la marta
1666	universidad nacional de la pampa	licenciatura en ciencias de la computación	2020-09-05	michelle	morrison	female	75	3185	steven46@gmail.com	colonia la marta
4	universidad nacional de la pampa	licenciatura en sociología	2020-09-03	cassandra	odonnell	female	67	7245	jamesthompson@gmail.com	campo sabate
5	universidad nacional de la pampa	ingeniería en informática	2020-11-20	jeffrey	rivera	male	103	8206	kristaaustin@hotmail.com	colonia españa
1153	universidad nacional de la pampa	licenciatura en ciencias ambientales	2020-11-09	jessica	walker	female	29	8206	rodriguezcourtney@gmail.com	colonia españa
6	universidad nacional de la pampa	ingeniería en informática	2020-10-23	ann	schmidt	female	78	2255	michael73@gmail.com	campo rodriguez
7	universidad nacional de la pampa	actuario	2020-09-28	gabrielle	johnson	female	25	3071	ipage@hotmail.com	aguara grande
649	universidad nacional de la pampa	licenciatura en kinesiología y fisiatría	2020-10-10	eric	bradshaw	male	51	3071	elizabeth03@yahoo.com	aguara grande
8	universidad nacional de la pampa	diseño de imagen y sonido	2020-10-22	samuel	tate	male	95	2253	gwoodard@gmail.com	campo gimenez
665	universidad nacional de la pampa	licenciatura en gestión de agroalimentos	2020-12-16	molly	wilkerson	female	78	2253	vramos@gmail.com	campo gimenez
1037	universidad nacional de la pampa	medicina	2020-09-24	dawn	robertson	female	92	2253	stephenscatherine@hotmail.com	campo gimenez
1754	universidad nacional de la pampa	diseño industrial	2020-10-02	hannah	waters	female	62	2253	arellanoheather@yahoo.com	campo gimenez
9	universidad nacional de la pampa	contador público	2020-12-08	jamie	henderson	female	40	3220	coxtanner@yahoo.com	arroyo manganga
205	universidad nacional de la pampa	contador público	2020-11-30	ashley	snyder	female	73	3220	marygreene@yahoo.com	arroyo manganga
10	universidad nacional de la pampa	licenciatura en ciencias de la educación	2020-09-13	lisa	blair	female	27	3085	rjoyce@gmail.com	pilar
12	universidad nacional de la pampa	licenciatura en musicoterapia	2020-10-19	michelle	beasley	female	84	3072	leoncindy@gmail.com	la lucila
1177	universidad nacional de la pampa	licenciatura en ciencia política	2020-12-07	veronica	jones	female	48	3072	joseph43@hotmail.com	la lucila
1720	universidad nacional de la pampa	licenciatura en ciencia y tecnología de alimentos	2020-11-08	tyler	fisher	male	94	3072	coreyporter@hotmail.com	la lucila
13	universidad nacional de la pampa	arquitectura	2020-11-12	shaun	dunn	male	115	5759	ydavis@hotmail.com	calera argentina
1215	universidad nacional de la pampa	ingeniería mecánica	2020-09-20	ryan	williams	male	87	5759	wilsonmary@yahoo.com	calera argentina
15	universidad nacional de la pampa	licenciatura en ciencias geológicas	2020-12-09	logan	clements	male	85	9410	beardpatrick@yahoo.com	bahia lapataia
16	universidad nacional de la pampa	ingeniería mecánica	2021-01-17	carol	myers	female	20	2747	brownjason@yahoo.com	coronel isleños
1695	universidad nacional de la pampa	licenciatura en producción de bioimagenes	2020-10-16	nancy	cox	female	103	2747	yorksteven@gmail.com	coronel isleños
17	universidad nacional de la pampa	ingeniería electrónica	2020-10-27	shannon	wilson	female	99	6303	darlene98@gmail.com	cachirulo
107	universidad nacional de la pampa	bioquímica	2020-12-22	stephanie	flores	female	49	6303	cdillon@yahoo.com	cachirulo
18	universidad nacional de la pampa	licenciatura en kinesiología y fisiatría	2020-10-10	chris	bennett	male	92	3122	hlewis@yahoo.com	arroyo corralito
414	universidad nacional de la pampa	licenciatura en sociología	2020-11-20	david	doyle	male	30	3122	duarteseth@yahoo.com	arroyo corralito
1530	universidad nacional de la pampa	licenciatura en ciencias de la educación	2021-01-14	tracey	diaz	female	114	3122	amandacruz@yahoo.com	arroyo corralito
1620	universidad nacional de la pampa	licenciatura en ciencias geológicas	2020-10-28	charles	thompson	male	67	3122	smithcaitlin@gmail.com	arroyo corralito
19	universidad nacional de la pampa	licenciatura en producción de bioimagenes	2020-11-28	ethan	lewis	male	111	3374	eric54@gmail.com	el porvenir
