Unnamed: 0,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
1,universidad de morón,licenciatura en ciencias de la educación ,27/08/2020,stephen,russo,male,20,6221,ceballos,harrisonkimberly@gmail.com
2,universidad de morón,contador público ,14/07/2020,melanie,collins,female,64,1876,bernal este,seanfisher@hotmail.com
3,universidad de morón,licenciatura en artes,28/10/2020,sandra,simpson,female,85,3083,grutly,spencermurphy@hotmail.com
5,universidad de morón,licenciatura en administración ,24/07/2020,james,oliver,male,42,6469,asturias,asmith@gmail.com
6,universidad de morón,licenciatura en ciencia y tecnología de alimentos,08/07/2020,colleen,herman,female,72,3474,chavarria,fkelley@hotmail.com
7,universidad de morón,licenciatura en ciencias de la educación ,23/02/2020,timothy,johnson,male,101,5623,atuel sud,michaellane@yahoo.com
8,universidad de morón,licenciatura en ciencia y tecnología de alimentos,11/09/2020,robyn,walsh,female,54,4601,corral de piedras,dawn84@hotmail.com
10,universidad de morón,ciencias veterinarias,10/08/2020,wayne,jackson,male,110,5300,amilgancho,kristenblack@yahoo.com
11,universidad de morón,ciencias veterinarias,12/02/2020,samantha,thompson,female,27,5509,agrelo,meganolson@hotmail.com
12,universidad de morón,arquitectura,10/08/2020,james,lopez,male,26,5589,chapanay,victor92@yahoo.com
13,universidad de morón,diseño de imagen y sonido,03/12/2020,michael,little,male,38,7100,dolores,elizabethprice@gmail.com
14,universidad de morón,diseño de imagen y sonido,22/07/2020,daniel,nunez,male,33,8181,azopardo,michellemorse@yahoo.com
15,universidad de morón,licenciatura en ciencias biológicas,23/03/2020,samuel,davenport,male,79,6022,la oriental,jamesjackson@hotmail.com
16,universidad de morón,licenciatura en artes,04/10/2020,natalie,jackson,female,88,3536,bocas,acostanicole@gmail.com
17,universidad de morón,bioquímica,20/12/2020,benjamin,thomas,male,57,4166,balderrama,hicksriley@gmail.com
18,universidad de morón,licenciatura en ciencias de la educación ,25/03/2020,devin,johnson,male,62,8133,la rosa,hunter66@gmail.com
19,universidad de morón,bioquímica,27/04/2020,erin,kent,female,109,5883,alto lindo,shannonjohnson@hotmail.com
20,universidad de morón,licenciatura en musicoterapia,28/03/2020,natasha,adams,female,97,1644,victoria,earl75@yahoo.com
21,universidad de morón,diseño de imagen y sonido,04/02/2020,douglas,smith,male,57,4111,aguada,qevans@hotmail.com
22,universidad de morón,licenciatura en ciencia política ,13/01/2020,connie,beck,female,59,5407,dique toma,thomasbrett@gmail.com
23,universidad de morón,licenciatura en ciencias geológicas,27/01/2020,jeremiah,lee,male,112,7401,canteras de gregorini,johnsonteresa@gmail.com
25,universidad de morón,licenciatura en ciencias ambientales,10/08/2020,james,wang,male,43,7167,carilo,websterdorothy@yahoo.com
26,universidad de morón,agronomía,05/09/2020,darlene,stone,female,46,1612,ingeniero adolfo sourdeaux,lindsey16@yahoo.com
27,universidad de morón,diseño de imagen y sonido,19/02/2020,teresa,garcia,female,21,3117,aldea san antonio,conwaylauren@yahoo.com
