Unnamed: 0,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
4,universidad nacional de río cuarto,ingeniería en informática,2015-01-21,michael,smith,male,27,8366,chelforo,laura64@yahoo.com
6,universidad nacional de río cuarto,farmacia,2002-10-20,jacqueline,gray,female,30,8412,cañadon del corral,uodonnell@yahoo.com
7,universidad nacional de río cuarto,contador público ,2024-11-20,denise,richard,female,51,2622,maggiolo,trevor97@gmail.com
10,universidad nacional de río cuarto,licenciatura en ciencia política ,2018-09-20,steven,blake,male,34,1854,longchamps,amandapalmer@yahoo.com
11,universidad nacional de río cuarto,licenciatura en terapia ocupacional,2002-09-20,elizabeth,stewart,female,22,2848,berisso,ajohnson@gmail.com
12,universidad nacional de río cuarto,ingeniería en informática,2020-01-21,johnny,hull,male,39,3136,alcaraz norte,ehale@gmail.com
14,universidad nacional de río cuarto,licenciatura en artes,2009-09-20,morgan,hale,female,18,2142,campo medina,jacobdunn@hotmail.com
15,universidad nacional de río cuarto,arquitectura,2003-12-20,brandi,norman,female,26,3334,3 de mayo,wjohnson@yahoo.com
18,universidad nacional de río cuarto,ciencias veterinarias,2007-09-20,leslie,walsh,female,26,3445,9 de julio,turnercory@yahoo.com
20,universidad nacional de río cuarto,diseño de imagen y sonido,2010-09-20,wesley,taylor,male,27,7020,benito juarez,johnhughes@gmail.com
22,universidad nacional de río cuarto,actuario ,2001-01-21,brendan,bell,male,40,3317,arroyo magdalena,sampsonsara@hotmail.com
26,universidad nacional de río cuarto,licenciatura en ciencia política ,2021-11-20,rebecca,young,female,48,3051,alejandra,wdavis@gmail.com
28,universidad nacional de río cuarto,ciencias veterinarias,2014-11-20,sandra,moore,female,49,1669,del viso,austinwolfe@yahoo.com
30,universidad nacional de río cuarto,licenciatura en artes,2002-09-20,matthew,thomas,male,45,8301,planicie banderita,teresa21@gmail.com
31,universidad nacional de río cuarto,licenciatura en gestión de agroalimentos,2016-12-20,tina,reid,female,49,6603,ingeniero williams,teresa52@hotmail.com
32,universidad nacional de río cuarto,licenciatura en ciencias antropológicas,2008-12-20,joseph,peterson,male,49,2501,berretta,wongjames@yahoo.com
35,universidad nacional de río cuarto,licenciatura en musicoterapia,2012-09-20,sue,franklin,female,19,7541,d orbigny,fbyrd@yahoo.com
38,universidad nacional de río cuarto,licenciatura en ciencias de la educación ,2001-12-20,brian,moore,male,42,8536,chipauquil,donna26@yahoo.com
39,universidad nacional de río cuarto,licenciatura en sociología ,2012-09-20,alexandra,hale,female,30,5715,arbol verde,jason45@gmail.com
