ID	university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
3	universidad del cine	ingeniería en informática	2020-09-17	jerry	beasley	female	32	3340	boqueron	brownmichael@gmail.com
6	universidad del cine	licenciatura en kinesiología y fisiatría	2020-12-09	chad	nelson	female	46	4434	anta	benjamin04@yahoo.com
18	universidad del cine	farmacia	2021-01-19	nathan	gonzales	female	16	5707	aguaditas	albertbush@hotmail.com
27	universidad del cine	licenciatura en sociología 	2020-12-10	bobby	smith	female	61	4152	aguilares	bruce09@hotmail.com
28	universidad del cine	licenciatura en administración 	2021-02-01	john	cole	female	66	6734	rawson	mmorris@yahoo.com
30	universidad del cine	licenciatura en sociología 	2020-11-19	wanda	harrison	female	28	2138	carcaraña	robertbailey@yahoo.com
32	universidad del cine	licenciatura en terapia ocupacional	2020-10-09	amy	morse	female	75	6434	palantelen	nancyhorton@gmail.com
35	universidad del cine	medicina	2020-10-13	brenda	wright	female	41	8373	alianza	fburton@yahoo.com
38	universidad del cine	técnico para bioterios 	2021-01-11	benjamin	nichols	female	74	7620	balcarce	zavery@gmail.com
41	universidad del cine	licenciatura en ciencia política 	2020-09-20	jamie	wilson	female	37	7003	aceilan	murphycaleb@gmail.com
50	universidad del cine	licenciatura en kinesiología y fisiatría	2020-12-04	tammy	cole	female	65	2401	castelar	kimbenjamin@gmail.com
59	universidad del cine	arquitectura	2021-02-18	bradley	williams	female	62	2117	alcorta	deborahmoore@hotmail.com
62	universidad del cine	licenciatura en ciencia política 	2020-11-23	tracey	bowers	female	68	6434	palantelen	dunlapkatrina@gmail.com
73	universidad del cine	diseño industrial	2021-02-15	zachary	garcia	female	63	4634	abralaite	susanrobinson@hotmail.com
80	universidad del cine	licenciatura en ciencias de la educación 	2021-01-17	april	miller	female	47	6623	indacochea	wsnow@hotmail.com
87	universidad del cine	licenciatura en ciencias biológicas	2020-12-08	mr.	scott bender	female	57	8512	igarzabal	drogers@gmail.com
91	universidad del cine	bioquímica	2021-01-15	douglas	casey	female	29	7620	balcarce	zjohnson@yahoo.com
96	universidad del cine	licenciatura en sociología 	2020-10-14	cathy	carr	female	67	2117	alcorta	sarah64@yahoo.com
97	universidad del cine	licenciatura en psicología	2021-01-25	gina	fleming	female	59	6361	agustoni	mcgeekristin@gmail.com
99	universidad del cine	ingeniería en informática	2020-11-11	tiffany	holland	female	74	5386	amana	ricemary@yahoo.com
105	universidad del cine	licenciatura en ciencias geológicas	2021-01-05	michael	cross	female	58	5515	maipu	josephfleming@yahoo.com
107	universidad del cine	licenciatura en ciencias geológicas	2020-09-15	carlos	ford	female	30	2441	crispi	gracecortez@gmail.com
109	universidad del cine	ingeniería mecánica	2020-11-08	stephen	carrillo	female	62	5722	acasape	jack34@yahoo.com
116	universidad del cine	licenciatura en ciencias de la educación 	2021-01-31	amy	moore	female	61	6555	alfalad	ryan95@hotmail.com
121	universidad del cine	ingeniería en informática	2020-10-28	david	young	female	73	3526	gandolfi	padilladebra@hotmail.com
123	universidad del cine	licenciatura en ciencias biológicas	2021-01-04	tamara	huang	female	31	7545	huanguelen	sanchezjessica@gmail.com
127	universidad del cine	licenciatura en kinesiología y fisiatría	2020-09-26	james	hess	female	18	8512	igarzabal	matthewcontreras@gmail.com
137	universidad del cine	licenciatura en ciencias biológicas	2020-09-14	paul	peck	female	66	3032	nelson	cesar08@yahoo.com
140	universidad del cine	licenciatura en ciencias biológicas	2021-01-12	mary	morse	female	43	8103	garro	cabrerajoyce@hotmail.com
145	universidad del cine	licenciatura en ciencia política 	2020-11-24	lisa	williamson	female	27	4743	aconquija	emay@yahoo.com
146	universidad del cine	ciencias veterinarias	2020-11-14	erica	garcia	female	32	4164	bajastine	osbornestephen@yahoo.com
158	universidad del cine	licenciatura en ciencias de la computación	2021-01-16	sarah	vang	female	71	8324	cipolletti	stevenstracy@gmail.com
163	universidad del cine	licenciatura en sociología 	2020-11-23	theresa	chaney	female	55	2222	diaz	garrisonchristopher@yahoo.com
165	universidad del cine	arquitectura	2020-10-17	edward	harrison	female	53	5306	carrizal	samuelweaver@hotmail.com
