,inscription_date,birth_day,age,university,career,full_name,email,gender,location,postal_code
0,2019-12-15 00:00:00,1999-09-11 00:00:00,23,universidad tecnológica nacional,actuario ,dawn montgomery,jeffrey01@gmail.com,female,cooper,7639
1,2020-07-18 00:00:00,1994-01-25 00:00:00,28,universidad nacional de jujuy,licenciatura en sociología ,christina smith,alan15@yahoo.com,female,cooper,7639
2,2019-10-17 00:00:00,1917-04-01 00:00:00,105,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,kim gibson,speters@yahoo.com,female,campo coubert,3056
3,2020-05-18 00:00:00,2000-03-10 00:00:00,22,universidad tecnológica nacional,licenciatura en ciencias de la computación,angela carroll,danielreed@gmail.com,female,campo coubert,3056
4,2019-12-22 00:00:00,1972-09-10 00:00:00,50,universidad nacional de jujuy,licenciatura en musicoterapia,jennifer moore,aglass@yahoo.com,female,campo coubert,3056
5,2020-07-15 00:00:00,1935-02-03 00:00:00,87,universidad tecnológica nacional,bioquímica,lindsay davis,aruiz@yahoo.com,female,campo coubert,3056
6,2019-11-26 00:00:00,1914-10-16 00:00:00,108,universidad nacional de jujuy,licenciatura en sociología ,william snow,hannah53@yahoo.com,male,campo coubert,3056
7,2020-03-18 00:00:00,1927-09-19 00:00:00,95,universidad tecnológica nacional,licenciatura en psicología,ryan gonzalez,johnsonpatricia@hotmail.com,male,campo coubert,3056
8,2020-07-12 00:00:00,1922-10-13 00:00:00,100,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,maria harrison,samuellee@yahoo.com,female,campo coubert,3056
9,2019-12-05 00:00:00,2001-06-15 00:00:00,21,universidad tecnológica nacional,licenciatura en administración ,jasmine mitchell,anthonyrandolph@hotmail.com,female,cachirulo,6303
10,2020-04-09 00:00:00,1998-05-17 00:00:00,24,universidad tecnológica nacional,agronomía,scott wood,qwilson@hotmail.com,male,cachirulo,6303
11,2020-06-12 00:00:00,1949-10-07 00:00:00,73,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,jennifer stout,robertmatthews@gmail.com,female,cachirulo,6303
12,2020-02-15 00:00:00,1935-02-25 00:00:00,87,universidad nacional de jujuy,licenciatura en ciencias de la educación ,anne gonzales,elizabethbrown@hotmail.com,female,cachirulo,6303
13,2020-07-30 00:00:00,1997-12-15 00:00:00,24,universidad tecnológica nacional,ingeniería electrónica,dwayne lucero,maryreed@yahoo.com,male,alvaro barros,7403
14,2019-12-23 00:00:00,1997-03-17 00:00:00,25,universidad nacional de jujuy,licenciatura en psicología,cynthia jackson,jonesheidi@gmail.com,female,alvaro barros,7403
15,2019-11-20 00:00:00,1907-03-17 00:00:00,115,universidad tecnológica nacional,técnico para bioterios ,nicole stanley,jwatson@yahoo.com,female,alvaro barros,7403
16,2020-07-05 00:00:00,1945-10-03 00:00:00,77,universidad nacional de jujuy,técnico para bioterios ,timothy davis,bruceobrien@hotmail.com,male,planchada banderita,3370
17,2020-06-09 00:00:00,1957-04-19 00:00:00,65,universidad tecnológica nacional,agronomía,gabriel graham,rowetyler@yahoo.com,male,planchada banderita,3370
18,2020-06-05 00:00:00,1956-10-21 00:00:00,66,universidad tecnológica nacional,licenciatura en ciencias de la computación,terrance king,millercatherine@yahoo.com,male,planchada banderita,3370
19,2019-12-27 00:00:00,1907-09-25 00:00:00,115,universidad nacional de jujuy,arquitectura,paul hurley,donnaholmes@hotmail.com,male,planchada banderita,3370
20,2020-02-27 00:00:00,1981-07-06 00:00:00,41,universidad nacional de jujuy,ingeniería en informática,daniel garcia,kimkramer@hotmail.com,male,planchada banderita,3370
21,2020-02-28 00:00:00,1965-06-01 00:00:00,57,universidad tecnológica nacional,licenciatura en ciencia política ,mr. ronald lane,pabbott@hotmail.com,male,planchada banderita,3370
22,2020-05-14 00:00:00,1928-09-12 00:00:00,94,universidad nacional de jujuy,licenciatura en administración ,daniel quinn,mary73@yahoo.com,male,planchada banderita,3370
23,2020-06-22 00:00:00,1947-04-01 00:00:00,75,universidad nacional de jujuy,licenciatura en ciencias biológicas,melissa frank,jeffreyayers@yahoo.com,female,planchada banderita,3370
24,2019-10-14 00:00:00,1924-02-02 00:00:00,98,universidad tecnológica nacional,farmacia,sharon villarreal,dhall@yahoo.com,female,arroyo,3300
