ID	university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
1	universidad de buenos aires	licenciatura en gestión de agroalimentos	2020-09-27	angela	hudson	female	17	3151	antelo	cpatterson@yahoo.com
5	universidad de buenos aires	licenciatura en kinesiología y fisiatría	2020-12-12	benjamin	nicholson	male	54	5345	baños termales	bgonzalez@hotmail.com
7	universidad de buenos aires	licenciatura en ciencias de la educación 	2020-09-18	kenneth	wright	male	73	7172	colonia ferrari	butlermartha@gmail.com
9	universidad de buenos aires	ingeniería electrónica	2021-01-27	mary	smith	female	33	8113	baterias	margaret65@yahoo.com
10	universidad de buenos aires	licenciatura en kinesiología y fisiatría	2020-11-04	pamela	delgado	female	34	5557	caracoles	stefanie45@hotmail.com
14	universidad de buenos aires	licenciatura en ciencias geológicas	2021-01-04	kimberly	banks	female	29	5591	alpatacal	timothyfoster@gmail.com
17	universidad de buenos aires	licenciatura en kinesiología y fisiatría	2020-12-16	daniel	harrell	male	64	8308	villa manzano	lvelasquez@gmail.com
18	universidad de buenos aires	contador público 	2020-11-13	justin	gonzalez	male	48	5541	algarrobal abajo	oconnorbrenda@yahoo.com
19	universidad de buenos aires	ingeniería mecánica	2020-11-25	ethan	pierce	male	74	7161	labarden	reynoldsmegan@yahoo.com
21	universidad de buenos aires	licenciatura en ciencia y tecnología de alimentos	2020-12-15	justin	lewis	male	48	3196	arroyo vega	gjensen@hotmail.com
22	universidad de buenos aires	licenciatura en artes	2020-12-11	chelsea	bond	female	26	1614	villa de mayo	quinnlonnie@gmail.com
25	universidad de buenos aires	farmacia	2020-09-19	michael	smith	male	25	1754	san justo	alexandertiffany@gmail.com
27	universidad de buenos aires	diseño industrial	2021-02-18	stephanie	guerra	female	15	2720	colon	stephensgeorge@yahoo.com
30	universidad de buenos aires	licenciatura en ciencia política 	2020-11-08	jonathan	howell	male	62	3471	alen cue	michaelnicholson@yahoo.com
35	universidad de buenos aires	medicina	2020-10-12	alexander	smith	male	68	1688	villa santos tesei	lsmith@hotmail.com
37	universidad de buenos aires	licenciatura en ciencias antropológicas	2020-09-09	dawn	sellers	female	37	6323	algarrobo del aguila	douglasstevens@yahoo.com
40	universidad de buenos aires	licenciatura en artes	2020-11-30	amanda	cardenas	female	19	1603	villa martelli	tannersara@hotmail.com
42	universidad de buenos aires	ingeniería mecánica	2020-11-13	tiffany	barnes	female	39	5632	colonia alvear	douglas71@hotmail.com
43	universidad de buenos aires	licenciatura en ciencia y tecnología de alimentos	2020-10-08	james	anderson	male	17	9227	el porvenir	tristan99@hotmail.com
45	universidad de buenos aires	bioquímica	2020-09-28	jennifer	bryan	female	26	4117	alabama	debra42@yahoo.com
48	universidad de buenos aires	licenciatura en kinesiología y fisiatría	2020-12-10	mackenzie	jackson	female	39	9050	gobernador moyano	brianlewis@yahoo.com
49	universidad de buenos aires	licenciatura en psicología	2021-01-14	gregory	rios	male	42	7203	chapaleufu	haroldguzman@hotmail.com
51	universidad de buenos aires	licenciatura en ciencia y tecnología de alimentos	2020-12-29	diana	watkins	female	73	3734	campo moreno	lmiles@hotmail.com
52	universidad de buenos aires	licenciatura en relaciones del trabajo 	2021-02-13	brent	ewing	male	57	2147	san genaro norte	sallysmith@hotmail.com
54	universidad de buenos aires	diseño de imagen y sonido	2020-10-24	amanda	fowler	female	68	9033	aldea apeleg	fphillips@hotmail.com
55	universidad de buenos aires	licenciatura en ciencias biológicas	2020-12-17	antonio	jones	male	15	2618	carmen	zpatrick@gmail.com
