,university,career,inscription_date,first_name,last_name,gender,fechas_nacimiento,age,postal_code,location,email
0,universidad-de-buenos-aires,actuario-,2020-09-24,,amy-wallace,f,21-Mar-12,,8431,"4440-edward-junctions-apt.-088
east-brian,-ar-23045",brookejones@yahoo.com
1,universidad-de-buenos-aires,licenciatura-en-gestión-de-agroalimentos,2020-09-27,,angela-hudson,f,05-Feb-21,,3151,"8672-rasmussen-way
leviville,-id-98957",cpatterson@yahoo.com
2,universidad-de-buenos-aires,medicina,2020-10-18,,jessica-sandoval,f,45-Sep-12,,6601,"4934-robyn-burg
lake-sandy,-al-36317",melinda04@hotmail.com
3,universidad-de-buenos-aires,arquitectura,2021-02-13,,stephanie-montoya,f,07-Oct-07,,2723,"1873-west-spring
davidberg,-tn-75056",mlewis@gmail.com
4,universidad-de-buenos-aires,licenciatura-en-ciencias-antropológicas,2020-09-20,,david-cooper,m,29-Aug-01,,6105,"8086-davenport-flat-suite-093
port-robertview,-ky-35162",lukegutierrez@yahoo.com
5,universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,2020-12-12,,benjamin-nicholson,m,68-Jun-05,,5345,"3986-reynolds-lodge-suite-625
north-christopher,-me-06591",bgonzalez@hotmail.com
6,universidad-de-buenos-aires,licenciatura-en-terapia-ocupacional,2020-12-04,,douglas-boyer,m,13-May-09,,3580,"3370-richardson-forge-apt.-577
greenechester,-ma-65283",taylor62@yahoo.com
7,universidad-de-buenos-aires,licenciatura-en-ciencias-de-la-educación-,2020-09-18,,kenneth-wright,m,49-Aug-12,,7172,"640-ramos-vista-suite-029
north-virginia,-wa-44218",butlermartha@gmail.com
8,universidad-de-buenos-aires,técnico-para-bioterios-,2021-01-28,,heather-bradford,f,17-Nov-02,,6422,"6017-anna-trail
south-mary,-ma-58614",nicole86@yahoo.com
9,universidad-de-buenos-aires,ingeniería-electrónica,2021-01-27,,mary-smith,f,89-Sep-13,,8113,"717-henry-land-apt.-299
floreston,-wi-42607",margaret65@yahoo.com
