,university,career,inscription_date,first_name,last_name,gender,birth_dates,age,location,postal_code,email
0,UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,2020-12-31,,STACEY-MEDINA,F,07-04-1959,,ALDEA-BELEIRO,,SARAHPHAM@YAHOO.COM
1,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,2020-10-29,,KATHRYN-NICHOLS,F,22-12-2008,,COLONIA-BARGA,,CHRISTOPHERANDERSON@YAHOO.COM
2,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,2021-01-01,,ERIC-KANE,M,24-02-2009,,SAN-JUSTO,,JAMES27@YAHOO.COM
3,UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,2020-09-17,,JERRY-BEASLEY,M,30-05-1990,,BOQUERON,,BROWNMICHAEL@GMAIL.COM
4,UNIVERSIDAD-DEL-CINE,ARQUITECTURA,2020-10-29,,DARRELL-CHAPMAN,M,12-07-1960,,AGUA-RICA,,CTHOMAS@HOTMAIL.COM
5,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,2020-11-13,,KIMBERLY-MOORE,F,19-04-1977,,ABRA-GUAZU,,NHILL@HOTMAIL.COM
6,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,2020-12-09,,CHAD-NELSON,M,22-02-1976,,ANTA,,BENJAMIN04@YAHOO.COM
7,UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,2020-12-16,,JESSICA-MARKS,F,27-09-1971,,COLONIA-CAMPO-PIAGGIO,,JEFFREY47@GMAIL.COM
8,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,2020-09-12,,DANIELLE-JOHNSON,F,28-12-1936,,DIAMANTE,,NUNEZTRACY@YAHOO.COM
9,UNIVERSIDAD-DEL-CINE,ACTUARIO-,2020-11-26,,PAMELA-LANE,F,09-11-1987,,EMPALME-VILLA-CONSTITUCION,,LOPEZASHLEY@YAHOO.COM
10,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,2020-11-02,,APRIL-MARSHALL,F,22-10-1997,,DESVIO-BOERO,,XLYNCH@YAHOO.COM
11,UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,2020-09-04,,KATHLEEN-DEAN,F,27-05-1969,,KILOMETRO-77,,WMORRIS@GMAIL.COM
12,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,2020-09-14,,MATTHEW-FINLEY,M,05-04-1960,,AGUARA-CUA,,BRIANPARKER@HOTMAIL.COM
13,UNIVERSIDAD-DEL-CINE,ARQUITECTURA,2021-01-22,,ANGELA-KING,F,15-08-1916,,AMENABAR,,MARIA28@HOTMAIL.COM
14,UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,2020-10-12,,DARIN-LONG,M,25-05-2011,,BENITO-JUAREZ,,BURNSSTEVEN@HOTMAIL.COM
15,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,2020-09-03,,MATTHEW-ANDERSON,M,17-07-1909,,CALERA-LA-NORMA,,KAREN35@YAHOO.COM
16,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,2020-10-26,,DAVID-BURNS,M,13-07-1961,,ESTACION-CHRISTOPHERSEN,,ELIZABETH62@HOTMAIL.COM
17,UNIVERSIDAD-DEL-CINE,CONTADOR-PÚBLICO-,2020-10-07,,AUSTIN-HENSLEY,M,28-04-1955,,22-DE-DICIEMBRE,,XDELGADO@HOTMAIL.COM
18,UNIVERSIDAD-DEL-CINE,FARMACIA,2021-01-19,,NATHAN-GONZALES,M,24-04-2006,,AGUADITAS,,ALBERTBUSH@HOTMAIL.COM
19,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,2020-12-28,,CHARLES-HERNANDEZ,M,02-02-1929,,APARICIO,,WCOLEMAN@HOTMAIL.COM
20,UNIVERSIDAD-DEL-CINE,FARMACIA,2021-02-18,,JILL-HOLDER,F,05-06-1983,,FARO-SAN-ANTONIO,,LAURIE72@YAHOO.COM
21,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,2020-09-19,,CHRISTOPHER-NELSON,M,06-01-1980,,ESTACION-LA-RINCONADA,,STEPHENSJENNIFER@HOTMAIL.COM
22,UNIVERSIDAD-DEL-CINE,DISEÑO-INDUSTRIAL,2021-01-22,,DONALD-FRY,M,29-08-1916,,CHAVARRIA,,YOUNGCHRISTINA@HOTMAIL.COM
23,UNIVERSIDAD-DEL-CINE,ACTUARIO-,2020-10-17,,MELISSA-BROWN,F,08-07-1948,,EL-TALAR,,JJONES@GMAIL.COM
24,UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,2020-10-05,,THERESA-BAKER,F,30-07-2013,,IRENEO-PORTELA,,BDAVIS@HOTMAIL.COM
25,UNIVERSIDAD-DEL-CINE,ARQUITECTURA,2020-10-25,,STEPHANIE-MITCHELL,F,02-11-2017,,CAPDEPONT,,WELLSJACOB@GMAIL.COM
26,UNIVERSIDAD-DEL-CINE,BIOQUÍMICA,2020-11-10,,ROSS-BEAN,M,13-06-2013,,COLONIA-SAN-EDUARDO,,ANNA71@HOTMAIL.COM
27,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,2020-12-10,,BOBBY-SMITH,M,26-05-1961,,AGUILARES,,BRUCE09@HOTMAIL.COM
28,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-ADMINISTRACIÓN-,2021-02-01,,JOHN-COLE,M,17-12-1955,,RAWSON,,MMORRIS@YAHOO.COM
29,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,2020-12-23,,JAMES-CUMMINGS,M,04-08-1909,,LLAVALLOL,,XJOHNSON@YAHOO.COM
30,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,2020-11-19,,WANDA-HARRISON,F,23-11-1993,,CARCARAÑA,,ROBERTBAILEY@YAHOO.COM
31,UNIVERSIDAD-DEL-CINE,INGENIERÍA-MECÁNICA,2021-01-14,,AMANDA-SIMON,F,05-02-1954,,LOMAS-DE-ZAMORA,,LARRYMACK@HOTMAIL.COM
32,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,2020-10-09,,AMY-MORSE,F,27-04-1947,,PALANTELEN,,NANCYHORTON@GMAIL.COM
33,UNIVERSIDAD-DEL-CINE,AGRONOMÍA,2021-02-03,,JUAN-SMITH,M,06-01-1909,,CAPDEPONT,,MCARLSON@GMAIL.COM
34,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,2020-11-14,,JILL-TRAN,F,11-06-1942,,ARROYO-URQUIZA,,GARNERCHRISTINA@GMAIL.COM
35,UNIVERSIDAD-DEL-CINE,MEDICINA,2020-10-13,,BRENDA-WRIGHT,F,22-04-1981,,ALIANZA,,FBURTON@YAHOO.COM
36,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,2020-09-11,,MELISSA-DAVIS,F,19-07-1980,,COLONIA-EL-SIMBOL,,KSNYDER@YAHOO.COM
37,UNIVERSIDAD-DEL-CINE,DISEÑO-INDUSTRIAL,2020-10-04,,LORI-WILEY,F,24-06-1928,,VILLA-RUIZ,,KYLESMITH@YAHOO.COM
38,UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,2021-01-11,,BENJAMIN-NICHOLS,M,09-02-1948,,BALCARCE,,ZAVERY@GMAIL.COM
39,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,2020-09-04,,AMY-SOTO,F,09-08-1930,,MASUREL,,BRYANTCHRISTINA@HOTMAIL.COM
