,inscription_date,birth_date,age,university,career,nombre,email,sexo,location,postal_code
0,2019-12-15,1999-09-11,,universidad tecnológica nacional,actuario ,dawn montgomery,jeffrey01@gmail.com,f,cooper,
1,2020-05-21,2017-03-25,,universidad nacional de jujuy,licenciatura en ciencias geológicas,sue washington,benjaminmurray@hotmail.com,f,costa bonita balneario,
2,2019-10-17,1917-04-01,,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,kim gibson,speters@yahoo.com,f,campo coubert,
3,2019-12-05,2001-06-15,,universidad tecnológica nacional,licenciatura en administración ,jasmine mitchell,anthonyrandolph@hotmail.com,f,cachirulo,
4,2020-07-30,1997-12-15,,universidad tecnológica nacional,ingeniería electrónica,dwayne lucero,maryreed@yahoo.com,m,alvaro barros,
5,2020-07-05,1945-10-03,,universidad nacional de jujuy,técnico para bioterios ,timothy davis,bruceobrien@hotmail.com,m,planchada banderita,
6,2019-10-14,1924-02-02,,universidad tecnológica nacional,farmacia,sharon villarreal,dhall@yahoo.com,f,arroyo,
7,2020-04-05,1953-07-07,,universidad nacional de jujuy,licenciatura en ciencias biológicas,mary gonzalez,qblair@hotmail.com,f,hughes,
8,2019-12-01,1910-08-31,,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,david mora,nancy71@hotmail.com,m,benitez,
9,2020-03-02,1941-02-28,,universidad tecnológica nacional,licenciatura en producción de bioimagenes,donna clark,melissa48@yahoo.com,f,bagual,
10,2020-01-10,1960-08-16,,universidad tecnológica nacional,licenciatura en administración ,john byrd,hillsavannah@hotmail.com,m,campo de los andes,
11,2019-11-29,1970-01-05,,universidad tecnológica nacional,técnico para bioterios ,jennifer green,atravis@gmail.com,f,aneque grande,
12,2020-07-17,1940-08-07,,universidad tecnológica nacional,agronomía,michael sullivan,kluna@hotmail.com,m,rincon de milberg,
13,2020-05-21,1931-01-06,,universidad tecnológica nacional,licenciatura en ciencias biológicas,jordan gould,kathleentorres@hotmail.com,m,abasto,
14,2020-03-08,1941-06-25,,universidad tecnológica nacional,diseño de imagen y sonido,thomas boyd,anthonycontreras@hotmail.com,m,colonia leiva,
