,inscription_date,nacimiento,age,universidad,carrerra,nombrre,eemail,sexo,direccion,codgoposstal
0,2020-01-01,1919-10-13,,Universidad nacional de la pampa,Licenciatura en ciencias geológicas,Heather lewis,Juanfox@yahoo.com,F,"12011 johnson throughway
port reneeberg, ct 40849",4142
1,2020-01-01,1996-10-31,,Universidad de morón,Licenciatura en artes,Roger wright,Joycehudson@hotmail.com,M,"2030 henry stravenue suite 534
north douglas, nh 99326",5603
2,2020-01-01,2006-07-30,,Universidad nacional de la pampa,Licenciatura en ciencias de la computación,James baker,Roberthall@hotmail.com,M,"1609 gaines glen suite 050
lake josefurt, in 96178",5421
3,2020-01-01,2005-12-29,,Universidad nacional de la pampa,Diseño de imagen y sonido,Patrick holloway,Clarkjustin@hotmail.com,M,"Unit 3401 box 3245
dpo ae 18264",3350
4,2020-01-01,2003-01-14,,Universidad de morón,Licenciatura en kinesiología y fisiatría,Charles west,David84@yahoo.com,M,"9039 connie hollow suite 640
cooperchester, va 47310",7633
5,2020-01-01,1929-10-15,,Universidad de morón,Técnico para bioterios ,Christopher phillips,Huntererin@hotmail.com,M,"70843 burns greens apt. 881
south chad, la 85341",8417
6,2020-01-01,1996-03-31,,Universidad de morón,Diseño industrial,Christine blair,William48@yahoo.com,F,"2573 alexandra plain suite 379
wilkersonburgh, sd 83374",5405
7,2020-01-01,1917-07-05,,Universidad de morón,Licenciatura en ciencias antropológicas,Dr. heather huynh,Vbaker@yahoo.com,F,"31705 brian mall
south douglasbury, nc 14903",6725
8,2020-01-01,1974-12-27,,Universidad nacional de la pampa,Técnico para bioterios ,Brandon woodard,Howardwilliam@gmail.com,M,"Unit 7505 box 9903
dpo aa 58008",5700
9,2020-01-01,1956-03-10,,Universidad nacional de la pampa,Diseño de imagen y sonido,Andrew diaz,Alexandrawolf@gmail.com,M,"709 matthew circle
derekmouth, mi 46709",8349
10,2020-01-01,1995-12-07,,Universidad nacional de la pampa,Licenciatura en ciencias de la educación ,Jordan bowers,Brichardson@gmail.com,M,"31979 daniel gateway suite 585
josephstad, nm 27271",6070
11,2020-01-01,1956-05-29,,Universidad nacional de la pampa,Actuario ,Justin cruz,Vyates@gmail.com,M,"0133 angel shore
east rebeccaton, nd 96059",5632
12,2020-01-01,1915-06-03,,Universidad nacional de la pampa,Bioquímica,Patricia myers,Melvinhenry@gmail.com,F,"756 mackenzie island
ericksonmouth, mi 07376",2529
13,2020-01-01,1932-12-30,,Universidad nacional de la pampa,Ciencias veterinarias,Andrew sampson,Mcculloughdanielle@yahoo.com,M,"649 paul knolls
stevenland, nv 36921",6476
14,2020-01-01,1995-07-09,,Universidad de morón,Medicina,William lopez,Dawnmiller@gmail.com,M,"77802 kathryn forge
east juliechester, co 51885",5361
15,2020-01-01,1996-01-19,,Universidad nacional de la pampa,Licenciatura en artes,Jason barrett,Andersonchristina@gmail.com,M,"2148 barbara harbors apt. 781
burnettmouth, ar 55065",3000
16,2020-01-01,1974-11-23,,Universidad de morón,Ciencias veterinarias,Todd morris,Sbrown@hotmail.com,M,"13912 michelle passage
west danielle, hi 39498",7637
17,2020-01-01,2009-12-02,,Universidad de morón,Diseño industrial,Andrew ballard,Kathykoch@gmail.com,M,"Psc 9301, box 4641
apo aa 64843",5711
18,2020-01-01,2001-05-03,,Universidad nacional de la pampa,Licenciatura en ciencias ambientales,Kathleen baird,Froman@gmail.com,F,"13868 joshua street apt. 494
west debra, me 12622",9201
19,2020-01-01,1971-02-27,,Universidad nacional de la pampa,Licenciatura en ciencias de la educación ,Mitchell butler,Wquinn@hotmail.com,M,"3959 cooper meadow
west curtisburgh, ks 64847",5721
20,2019-10-01,1962-03-28,,Universidad de morón,Licenciatura en kinesiología y fisiatría,Hector martinez,Mitchelltyler@yahoo.com,M,"11738 hernandez heights apt. 476
lake michael, vt 40710",7547
21,2019-10-01,1916-01-29,,Universidad de morón,Licenciatura en musicoterapia,Crystal ramos,Lknight@hotmail.com,F,"Psc 6779, box 8369
apo aa 91650",3400
22,2019-10-01,2013-09-11,,Universidad de morón,Licenciatura en gestión de agroalimentos,Charles christian,Lesliedean@hotmail.com,M,"39831 michael mill
west jeffrey, ak 98336",3563
23,2019-10-01,1983-05-23,,Universidad nacional de la pampa,Contador público ,Laura santiago,Ortegajoshua@hotmail.com,F,"921 mitchell spring apt. 790
east tonya, ky 14742",8170
24,2019-10-01,1975-06-28,,Universidad de morón,Licenciatura en administración ,Thomas chang,Chad19@gmail.com,M,"54739 fowler green apt. 290
north judy, sd 25275",3311
25,2019-10-01,1979-05-05,,Universidad de morón,Licenciatura en ciencias biológicas,Kristin stevenson,Lawrencenorris@gmail.com,F,"7202 miller walk apt. 715
kyleside, nm 38599",3231
